理想的下午: 关于旅行也关于晃荡, 舒国治, 27.00 
倾城: 三毛作品集10, 三毛, 13.6 
哭泣的骆驼, 三毛, 15.80元 
吻所有女孩, 亦舒, 55.00元 
香港三部曲, 施叔青, 32.00元 
可不可以不要上班, 弯弯, 19.80元 
回家真好, 欧阳应霁, 26.00 
五十年來的經學研究（1950-2000）, 林慶彰, 2003-05 
日本雜貨散步, 晴空藍, NT$220.00 
青春, 张曼娟, 16.80元 
恍惚的慢板, 柯裕棻, 96.00元 
淡之頌：論中國思想與美學, 法蘭斯瓦·余蓮（FrançoisJullien）, 2006-02-01 
旅行 從我的房間開始, 大野清美, TWD240 
綺色佳: 亦舒系列180, 亦舒, 1997 
豆芽集1, 亦舒, 20.00 
舞鶴淡水, 舞鶴, NT$240 
曼傑利斯塔姆／巴列霍, 曼傑利斯塔姆、巴列霍, NT$120 
貓咪這樣吃最健康！, 蘇菁菁, 2013-11 
爱的地下教育, 彭浩翔, 39.80元 
白马啸西风, 金庸, 1993-11 
出走,是為了愛: 第二版, 素黑, $58 
香港歌詞導賞, 黃志華、朱耀偉, 港幣78元 
一個身體兩個人, 周耀輝, HK$88 
世界将我包围, 林夕, 26.00元 
陪他一段: 洪範文學叢書96, 蘇偉貞, NT$70 
液態之愛: 論人際紐帶的脆弱, 齊格蒙·包曼(ZygmuntBauman), HK$107 
花常好月常圆人长久, 亦舒, 16.00元 
李敖有话说, 李敖, 25.00元 
关于上班这件事, 朱德庸, 27.00元 
失控的照護, 葉真中顯, NT$360 
我所爱的香港, 林夕, 25.00元 
萍踪侠影录, 梁羽生, 30.0 
白垩纪, 席慕容, 35.00元 
我的快樂天堂: 三毛全集, 三毛, 130TWD 
面包树上的女人, 张小娴, 16.00元 
半饱: 生活高潮之所在, 欧阳应霁, 34.80元 
意绵绵, 亦舒, 18.00 
两个人住: 一切从家徒四壁开始, 欧阳应霁, 29.00 
梁羽生散文: 生花妙笔侠影留, 梁羽生, 28.00元 
恋物百科全书, 李欣频, 36.00元 
桃花流水杳然去: 王鼎钧散文别集, 王鼎钧, 2014-5 
台湾念真情, 吴念真, 29.80元 
親愛的安德烈, 龍應台、安德烈, 港币85元 
樂來樂想, 焦元溥, 112.00元 
行路難, 李維怡, HK$75 
墨痕深處: 文學．歷史．記憶論集, 王德威、李歐梵, HK$138.00 
列寧的墳墓：一座共產帝國的崩潰（下卷/全兩冊）, 大衛．雷姆尼克, NT$480 
雜貨@東京, 台灣麥浩斯, 299TWD 
寒武纪, 亦舒, 18.00元 
你不相信的事, 張惠菁, NT250元 
亲爱的三毛, 三毛, 18.00元 
送你一匹马, 三毛, 18.00元 
扶桑, 严歌苓, 13.00元 
盛夏光年, 王纪尧, 23.80元 
雨季不再来, 三毛, 28.00元 
都在书生倦眼中, 苏伟贞, 27.00元 
黑白异境, 幾米, 28.00 
未央歌, 鹿桥, 58.00 
地下紐約: 一個社會學家的性、毒品、底層生活觀察記, 蘇西耶.凡卡德西(SudhirVenkatesh), NT$360 
不羁的风, 亦舒, 16.00元 
祖父的六抽小柜, 杨凯麟, 45.00元 
香港：大英帝國殖民時代的終結, 珍．莫里斯(JanMorris), 2006-7 
孤獨前哨: 太平洋戰爭中的香港戰役, 鄺智文、蔡燿倫, HKD108.00 
弃的故事, 骆以军, 36.00元 
經驗匱乏者筆記: In Search of Lost Time, 駱以軍, 非賣品 
我读2, 梁文道、何亮亮, 32元 
人淡如菊, [加]亦舒, 19.00元 
魂牵, 龙应台, 12.5 
情未了: 大陆再次推出亦舒散文集《意绵绵》、《情未了》, 亦舒, 18.00元 
我的宝贝: 三毛全集(13), 三毛, 16.60 
哈佛諾頓講座之大師與門徒, 史太納(GeorgeSteiner), 新台幣250元 
特别的一天, 吴念真, 28.00元 
英子的乡恋, 林海音, 29.00元 
十二味生活设计: 遇见日本创作大师, 林怡芬, 36.00元 
楚留香传奇, 古龙, 100.00元 
天上所有的星, 亦舒, 18.00元 
星星的孩子, 葛蘭汀, NT$220 
一点旧一点新, 亦舒, 18.00元 
胭脂, [香港]亦舒, 9.80 
秦俑, 李碧华, 6.6 
画中有话: 近代中国的视觉表述与文化构图, 黄克武, 新台币500元 
魔术时刻, 苏伟贞, 28.00元 
异乡人, （香港）亦舒, 9.80 
噪音太多, 梁文道, 30.00 
茶餐時光, 銘予, HKD38.00 
地下铁, 幾米, 32.00元 
一个人, 网络与书编辑部, 38.00 
小紫荆, 亦舒, 18.00元 
心, 董啟章, NT$360 
恨煞, 亦舒, 19.00元 
剪刀替针做媒人, 亦舒, 18.00元 
无爱纪, 许子东主编, 24.00元 
衝出冰河紀, [法]尼古拉·德魁西（NicolasdeCrécy）, NT$350 
等一个人咖啡, 九把刀, 18.00元 
建築電影學: 电影中空间类型的比较与解读, 李清志, NT$240 
孤独六讲, 蒋勋, 36.00元 
61×57, 王文华, 19.00元 
Hou Hsiao-hsien, Collectif, NT$250 
稻草人手记, 三毛, 18.00元 
當代史學研究的趨勢、方法與實踐: 從新文化史到全球史, 蔣竹山, 450 
红颜露水, 张小娴, 18.00元 
乐未央, 亦舒, 18.00元 
小電影學: 電影複像、轉場換景與隙縫偷渡, 劉永晧、林曉郁[設計]、陳志宇[協力], NT360 
自己幹文化：九零年代的派對與革命, 喬治‧馬凱（GeorgeMcKay）等, 新台币三八○元 
風滿樓, 亦舒, 香港天地图书 
教养可以这么浪漫, 李伟文, 29.80元 
形塑歷史: 政治變遷如何被敘述, 茉莉·安德鲁斯（MollyAndrews）, NT$300 
荷包里的单人床, 张小娴, 12.00元 
只剩一个角落的繁华, 陈文茜, 35.00元 
蔡康永的说话之道, 蔡康永著、熊宝插图, 25.00元 
月亮忘記了, 幾米, NT$299 
背影, 三毛, 160TWD 
生命的不可思议: 胡因梦自传, 胡因梦, 28.00元 
